instance,source,local,sha256,present,portable_candidate_local,portable_candidate_sha256,input_binding
django__django-10914,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-10914/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-10914/trajectory.json,a323767c4cc8974abcb695e921fa8a91538fe9056159f9000d4779055180a9fb,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-10914/trajectory.json,a0fdceca98bfafc35c13212b4374254ab7fc5af6235cd0ef67cd8c24e0da57cb,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-10924,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-10924/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-10924/trajectory.json,2c60e303d1c5de0d351bb43aca3d31d63a85181eeba02f2d1b9e6ce70d0e8dba,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-10924/trajectory.json,5ae718c7059ac357837622215f0f7f020f96cab8ab0de4b620e20fd3cadf66e3,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11039,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11039/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11039/trajectory.json,b9b7d21525f1be7d2b4888d2fa4ea77ee559076ccc1e1a6d70b40e86f456d78d,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11039/trajectory.json,86e825b39f5c243c1303aceda8c2a26cc5ec43f54efc88076f81b891b874b5a1,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11049,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11049/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11049/trajectory.json,a0fc05a60dc19450417a90850b33ff5db234b08a89adc9f128e09e303366327c,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11049/trajectory.json,e62dcc0cd1b4a28f5cc7075e658704ae428b150f9f094dcf38e18a90dbfec42b,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11099,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11099/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11099/trajectory.json,7991be5c2e380cec05e09aad5269f8a1c8f038a8a76d985f9767979280b44ed7,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11099/trajectory.json,568caf2c88b2219cc38f8921ed7012dd6978c56325d1b6b158ad26432e5b27a1,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11133,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11133/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11133/trajectory.json,e2bcef1725a9650ceed6ea18fb40c5c585153b06c22a043f82d973d326ab9fe1,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11133/trajectory.json,c314a842aaf58072d5c2190ca14dcb9b4d14969cd1148318eee550ead073cf60,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11138,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11138/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11138/trajectory.json,03f0cea8fab07846ba7e6c751d5b83a89bcc56691035512a2f2aa0c7bce7e1cd,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11138/trajectory.json,3698231af07bb7f53ae0786cae79cbac802558f4ab42145ae032b700b562f1ea,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11141,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11141/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11141/trajectory.json,b8d7f7a19458fb86be5bef68cdc1acbba16a0de5f28cb93bb51d17e4623805cb,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11141/trajectory.json,18d1cbfbfe8a6e6ab25409388e6d95a9644a76abfdfc91f5d9a1324f7ec1d058,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11149,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11149/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11149/trajectory.json,a2d6073b966cf36bea148f36ffa460db9d41ed58ee06b58567a1a7c63449b70f,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11149/trajectory.json,7680cba25094cd343d26d33bbf140210fe531bfe0a01ddb4ca0dc4a7b77147d3,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11163,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11163/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11163/trajectory.json,7307035295ea44a6b6e088c05a8c3a9252bd05f8d3d7904fe41695c9fcd88b5b,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11163/trajectory.json,0b6ae1bc517b3545b2c4c2eb6699ca5759fa2d2b4592a2951058955fc1ec48fb,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11179,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11179/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11179/trajectory.json,c96e0cfe2fb23b94c65a9f74d1c90fa326603ece487127644107dd1ebe30f472,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11179/trajectory.json,673bf3263ed5b167fa4846c9b36e0e31c3a8647188fd82ec1032061e5c206382,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11206,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11206/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11206/trajectory.json,39c1073d9f842047acf9431d0eda7b519852c8e06cbc667158d732d251975649,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11206/trajectory.json,1c9db39f9bfe263c403de39697f223a9f3d3d23cd3b22b6d442544795af1402e,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11211,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11211/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11211/trajectory.json,907124339bccb1cbf11f979cc0121e54e8efc175269a856f7a6dd3d6e0da4445,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11211/trajectory.json,23b3e00d493de64a838f9889ce11afc6c05084d38db1c2c940416d010d993639,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11239,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11239/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11239/trajectory.json,fe9a20e24234af53a6e82ad774c1efd4a68527014ed80e45519e98ad76dda77c,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11239/trajectory.json,5384e1ae85ee15313a803de015c029ac7c585e96693c8313d0b2a893c73caaa5,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11265,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11265/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11265/trajectory.json,ce7e206a33c43bdb84d897c7288451ce49de027283f2ad5a759951ef7df4b2dd,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11265/trajectory.json,a7f75f092d01e4182dfe8ffae6be70b733b7dfea4c87e0fb7e6c9b4ad5eaedab,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11276,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11276/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11276/trajectory.json,2af6aa0884c8289853a7af9e464b0b8105f02badd15f4a9e4f1d6102bccba91e,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11276/trajectory.json,0fc57147ab716f7279eaafb6bdb573b07d6184901a3dd8f121540379e11e0940,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11283,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11283/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11283/trajectory.json,7f7c8f29a3bc2d23ceba3b3ccd7830039a10af4c355262ef1e134f6adc3a6d7a,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11283/trajectory.json,7d5ae2341ba2f51c07f92cd43f830883861d609065566a6be05b69c2ebe1cb97,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11292,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11292/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11292/trajectory.json,e4921ad86ea04b14cb623e58ee592d98e1fd2574a4e330ad4cec76fcee90375f,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11292/trajectory.json,156ef1b89e653cb0eeaeae747bdcb26b4ad8787b52f715ac61f1151e12d2ef46,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11333,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11333/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11333/trajectory.json,b6d4473fa2d496f4c1e231a4096a5b5ac4e3b111cca7c33edc79df250ebf328b,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11333/trajectory.json,730bff7222549138f3ec1d6a09342e03e0319bd0587ce75f7fb24df1e1c92dc9,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11400,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11400/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11400/trajectory.json,7d77cb3d4a9a8f1f9e987048adb13e729d506fbae23189f261a90401fee77bfa,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11400/trajectory.json,4062395f5f04604b46e873e94522e03d535b6d0c42f82de32308009efb49b3e6,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11433,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11433/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11433/trajectory.json,44164fea75c145cf4c8f731408781eea687335f35e67d5e4f87bb3e7c5341f4e,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11433/trajectory.json,20fe6574b60193fe3dd350018fd3a8d15100b098f7c3b319e37571138204bc9e,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11451,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11451/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11451/trajectory.json,e7bcdf187bac0385a0af6d47ece9c6c7e568cf3210eb2f2851c5fa54d97be308,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11451/trajectory.json,35ff31c9f5ef1c9f36dd404ce60fafdc9c177a84da9fb29ccda2a04c26878afb,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11477,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11477/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11477/trajectory.json,ff2caca0eda1535b802f80fbb6ebb132d54fcbc001afbe6abb48772002709792,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11477/trajectory.json,3aebee7df69ecad20b6393603ef6777e423a56397fdf223c85947224746810b8,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11490,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11490/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11490/trajectory.json,099c6ae823d009bdbd6f1a496b3dd3d8092842c18bc9892d1b70592fac7e3073,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11490/trajectory.json,f541e62a53a67addc258ff2bc4e87082bd4e0c797b666e994aff9668d69270de,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11532,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11532/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11532/trajectory.json,78afeef3cad3d65ff90730c49802cff78f94c9f8b2562f61d59169acfd6511fb,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11532/trajectory.json,6b135f6aae935519b180fc702bbfc74e443ce1aac58b05da41878ccd0c398a89,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11551,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11551/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11551/trajectory.json,b1ffda0c0be7e627f6ca65a9ad1212937be669cbb5175486db29f868d4ecbaae,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11551/trajectory.json,a3e574be47f58da149387995dbb3f524c65b473f8f4db4e4f49a7429abb4a53e,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11555,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11555/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11555/trajectory.json,0d847daf248d3734f899db964e47b1b2c4b5e9959b063f26d3d673c3d568fbb3,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11555/trajectory.json,cdb50164b2441c69e7c48483490ad99992043ad9dbbb3e706e6edd757fbed969,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11564,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11564/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11564/trajectory.json,8f8cfa050eadf1739656d3aba281dda753e28d8a1852096cfdab67d34b39ad5e,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11564/trajectory.json,e7ed575f88df45ec7563677ed71cbea31367cfd9142bf719da36359b28d8c33c,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11583,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11583/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11583/trajectory.json,928c8b440c9f42963d4d8733a6ca7017da561cd3218157a97d20ed017887e26a,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11583/trajectory.json,0d74d8a847538924284a794ecbdde6d835e4a8fde5f22af43749c7643052ba6a,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11603,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11603/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11603/trajectory.json,a856d91575254691f95df3edeb57c351a1d4e0b82ccd7d4289b342cb37135dd0,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11603/trajectory.json,0d77ba2cb18404ac239092ca6e2f3546a5b55ce842aa35e13f740b27f2555ca1,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11620,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11620/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11620/trajectory.json,a134f39428e853548e02e0a5b256a7972e700d299f1ffeab925541b6c689fb64,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11620/trajectory.json,b6b37acb2b2cf5c327e09e58f7ef4ed5cba5895df6790d2597aa721185c559d6,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11630,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11630/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11630/trajectory.json,4ee530fcea6b80c066c9d600e373156990e9f5659ce7e6c9e49ef59ff2d3d3c6,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11630/trajectory.json,4118e06e49186d39498714a922ced24b5c4ff9ac1d514c924cf02268f72a98a7,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11728,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11728/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11728/trajectory.json,a02073787b5733a78233151915f6b0f025b2b23c92ba3c88cd4beb459feab539,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11728/trajectory.json,76539399bcfe665a104c535cb47f7fe7db510149ade633aeac66ca4bd03cc854,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11734,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11734/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11734/trajectory.json,27d07a3ca5b75be31287b5b2bd7ffce75553cb3e029a01d6420b2b25a22d47fe,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11734/trajectory.json,2adfaeef4212d71eaa27f12d95a32fa2ac665457d2c2640bab0a62c92387a8b2,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11740,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11740/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11740/trajectory.json,ecb87e9714f8cee07807a6688f70ac405a24ab9f68cc43cc0c89afbf07ff949e,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11740/trajectory.json,6e5aaaa791c88bd3aee53c28333c9006816d79dda8643b172c8141bf379c3f5f,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11749,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11749/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11749/trajectory.json,375045f08eef3be3499596d208e48c10703892a5176a2108aee064e00fdcb4a7,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11749/trajectory.json,d2bd8fc73cea6f8d7bccddc563e92ac451d0ab2ca21d3e569e185d8e2bbbffbf,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
django__django-11790,/mnt/disk2/dyp/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11790/trajectory.json,traces/supplement/79-20260920/d-overlayfs/traces/swe-search/qwen3-coder-30b-ms/django__django-11790/trajectory.json,7ae08b55abd60c1b9d725c934a36f3480b3d8e0f47012197cf50f43cf07e4e69,True,traces/supplement/79-20260920/spr_payload/det_traces/ms/django__django-11790/trajectory.json,8eb24a246e2aec100ff6c54065bb4157d4e10500c07dd3b6cf2a18eca2204b92,Current ms snapshot matches real-run driver default path; historical per-run input hash unavailable; old portable snapshot also retained
